location,variety,index,date,study,year,rate_n_kgha,biomass_Mgha,n_pct
Belgium,Bintje,19,2004-06-28,Gembloux,2004,180.0, 3.848,3.146
Belgium,Bintje,19,2004-06-28,Gembloux,2004,240.0, 3.991,3.345
Belgium,Bintje,20,2004-07-05,Gembloux,2004,  0.0, 4.190,1.545
Belgium,Bintje,20,2004-07-05,Gembloux,2004,100.0, 5.525,2.223
Belgium,Bintje,20,2004-07-05,Gembloux,2004,140.0, 5.775,2.393
Belgium,Bintje,20,2004-07-05,Gembloux,2004,180.0, 5.460,2.521
Belgium,Bintje,20,2004-07-05,Gembloux,2004,240.0, 6.077,2.603
Belgium,Bintje,21,2004-07-12,Gembloux,2004,  0.0, 5.669,1.184
Belgium,Bintje,21,2004-07-12,Gembloux,2004,100.0, 7.292,2.004
Belgium,Bintje,21,2004-07-12,Gembloux,2004,140.0, 6.821,2.105
Belgium,Bintje,21,2004-07-12,Gembloux,2004,180.0, 6.980,2.393
Belgium,Bintje,21,2004-07-12,Gembloux,2004,240.0, 7.465,2.477
Belgium,Bintje,22,2004-07-19,Gembloux,2004,  0.0, 6.698,1.030
Belgium,Bintje,22,2004-07-19,Gembloux,2004,100.0, 9.010,1.566
Belgium,Bintje,22,2004-07-19,Gembloux,2004,140.0, 8.727,1.647
Belgium,Bintje,22,2004-07-19,Gembloux,2004,180.0, 8.393,2.034
Belgium,Bintje,22,2004-07-19,Gembloux,2004,240.0, 9.347,2.082
Belgium,Bintje,23,2004-07-27,Gembloux,2004,  0.0, 8.159,0.881
Belgium,Bintje,23,2004-07-27,Gembloux,2004,100.0,10.805,1.466
Belgium,Bintje,23,2004-07-27,Gembloux,2004,140.0,10.240,1.516
Belgium,Bintje,23,2004-07-27,Gembloux,2004,180.0,11.061,1.733
Belgium,Bintje,23,2004-07-27,Gembloux,2004,240.0,10.978,1.824
Belgium,Bintje,25,2010-06-28,Gembloux,2010,  0.0, 3.099,2.535
Belgium,Bintje,25,2010-06-28,Gembloux,2010,115.0, 3.190,3.290
Belgium,Bintje,25,2010-06-28,Gembloux,2010,165.0, 3.423,3.283
Belgium,Bintje,25,2010-06-28,Gembloux,2010,215.0, 3.219,3.498
Belgium,Bintje,25,2010-06-28,Gembloux,2010,248.0, 3.419,3.717
Belgium,Bintje,26,2010-07-05,Gembloux,2010,  0.0, 4.204,2.097
Belgium,Bintje,26,2010-07-05,Gembloux,2010,115.0, 4.325,2.714
Belgium,Bintje,26,2010-07-05,Gembloux,2010,165.0, 4.342,2.916
Belgium,Bintje,26,2010-07-05,Gembloux,2010,215.0, 4.056,3.048
Belgium,Bintje,26,2010-07-05,Gembloux,2010,248.0, 4.413,3.109
Belgium,Bintje,27,2010-07-12,Gembloux,2010,  0.0, 5.123,1.871
Belgium,Bintje,27,2010-07-12,Gembloux,2010,115.0, 5.497,2.531
Belgium,Bintje,27,2010-07-12,Gembloux,2010,165.0, 5.236,2.546
Belgium,Bintje,27,2010-07-12,Gembloux,2010,215.0, 5.430,2.741
Belgium,Bintje,27,2010-07-12,Gembloux,2010,248.0, 5.273,2.780
Belgium,Bintje,28,2010-07-26,Gembloux,2010,  0.0, 7.188,1.700
Belgium,Bintje,28,2010-07-26,Gembloux,2010,115.0, 7.721,2.250
Belgium,Bintje,28,2010-07-26,Gembloux,2010,165.0, 8.154,2.456
Belgium,Bintje,28,2010-07-26,Gembloux,2010,215.0, 7.066,2.594
Belgium,Bintje,28,2010-07-26,Gembloux,2010,248.0, 7.797,2.582
Belgium,Bintje,29,2011-06-14,Gembloux,2011,  0.0, 1.436,3.764
Belgium,Bintje,29,2011-06-14,Gembloux,2011, 98.0, 1.458,3.625
Belgium,Bintje,29,2011-06-14,Gembloux,2011,140.0, 1.266,3.747
Belgium,Bintje,29,2011-06-14,Gembloux,2011,182.0, 1.554,3.605
Belgium,Bintje,29,2011-06-14,Gembloux,2011,210.0, 1.356,3.767
Belgium,Bintje,30,2011-07-06,Gembloux,2011,  0.0, 5.547,1.787
Belgium,Bintje,30,2011-07-06,Gembloux,2011, 98.0, 5.148,2.416
Belgium,Bintje,30,2011-07-06,Gembloux,2011,140.0, 5.412,2.389
Belgium,Bintje,30,2011-07-06,Gembloux,2011,182.0, 5.366,2.624
Belgium,Bintje,30,2011-07-06,Gembloux,2011,210.0, 5.529,2.636
Belgium,Bintje,31,2011-07-20,Gembloux,2011,  0.0, 8.264,1.190
Belgium,Bintje,31,2011-07-20,Gembloux,2011, 98.0, 8.247,1.840
Belgium,Bintje,31,2011-07-20,Gembloux,2011,140.0, 8.039,2.015
Belgium,Bintje,31,2011-07-20,Gembloux,2011,182.0, 8.876,2.095
Belgium,Bintje,31,2011-07-20,Gembloux,2011,210.0, 8.532,2.072
Belgium,Bintje,32,2011-07-25,Gembloux,2011,  0.0, 8.767,1.169
Belgium,Bintje,32,2011-07-25,Gembloux,2011, 98.0,10.217,1.759
Belgium,Bintje,32,2011-07-25,Gembloux,2011,140.0, 8.856,1.891
Belgium,Bintje,32,2011-07-25,Gembloux,2011,182.0, 9.422,2.153
Belgium,Bintje,32,2011-07-25,Gembloux,2011,210.0, 9.304,2.105
Belgium,Bintje,33,2012-06-27,Gembloux,2012,  0.0, 1.021,3.812
Belgium,Bintje,33,2012-06-27,Gembloux,2012, 50.0, 1.104,4.742
Belgium,Bintje,33,2012-06-27,Gembloux,2012,100.0, 1.209,5.503
Belgium,Bintje,33,2012-06-27,Gembloux,2012,150.0, 1.367,5.572
Belgium,Bintje,33,2012-06-27,Gembloux,2012,200.0, 1.276,6.199
Belgium,Bintje,33,2012-06-27,Gembloux,2012,250.0, 1.321,5.865
Belgium,Bintje,34,2012-07-04,Gembloux,2012,  0.0, 1.910,2.959
Belgium,Bintje,34,2012-07-04,Gembloux,2012, 50.0, 2.828,3.470
Belgium,Bintje,34,2012-07-04,Gembloux,2012,100.0, 2.829,3.962
Belgium,Bintje,34,2012-07-04,Gembloux,2012,150.0, 2.752,4.410
Belgium,Bintje,34,2012-07-04,Gembloux,2012,200.0, 3.254,4.613
Belgium,Bintje,34,2012-07-04,Gembloux,2012,250.0, 2.969,5.036
Belgium,Bintje,35,2012-07-11,Gembloux,2012,  0.0, 3.251,2.250
Belgium,Bintje,35,2012-07-11,Gembloux,2012, 50.0, 3.414,2.591
Belgium,Bintje,35,2012-07-11,Gembloux,2012,100.0, 4.002,2.953
Belgium,Bintje,35,2012-07-11,Gembloux,2012,150.0, 4.283,3.129
Belgium,Bintje,35,2012-07-11,Gembloux,2012,200.0, 4.295,3.503
Belgium,Bintje,35,2012-07-11,Gembloux,2012,250.0, 4.662,3.401
Belgium,Bintje,36,2012-07-25,Gembloux,2012,  0.0, 5.821,1.502
Belgium,Bintje,36,2012-07-25,Gembloux,2012, 50.0, 7.313,1.783
Belgium,Bintje,36,2012-07-25,Gembloux,2012,100.0, 6.062,2.020
Belgium,Bintje,36,2012-07-25,Gembloux,2012,150.0, 7.538,2.207
Belgium,Bintje,36,2012-07-25,Gembloux,2012,200.0, 5.396,2.511
Belgium,Bintje,36,2012-07-25,Gembloux,2012,250.0, 6.214,2.542
Belgium,Bintje,38,2013-06-26,Gembloux,2013,  0.0, 1.000,4.544
Belgium,Bintje,38,2013-06-26,Gembloux,2013, 50.0, 1.415,5.039
Belgium,Bintje,38,2013-06-26,Gembloux,2013,100.0, 1.157,5.458
Belgium,Bintje,38,2013-06-26,Gembloux,2013,150.0, 1.448,5.766
Belgium,Bintje,38,2013-06-26,Gembloux,2013,200.0, 1.232,5.277
Belgium,Bintje,38,2013-06-26,Gembloux,2013,250.0, 1.294,5.722
Belgium,Bintje,39,2013-07-11,Gembloux,2013,  0.0, 3.788,1.804
Belgium,Bintje,39,2013-07-11,Gembloux,2013, 50.0, 4.327,2.445
Belgium,Bintje,39,2013-07-11,Gembloux,2013,100.0, 4.347,3.117
Belgium,Bintje,39,2013-07-11,Gembloux,2013,150.0, 4.645,2.969
Belgium,Bintje,39,2013-07-11,Gembloux,2013,200.0, 5.037,3.249
Belgium,Bintje,39,2013-07-11,Gembloux,2013,250.0, 4.504,3.747
Belgium,Bintje,40,2013-07-23,Gembloux,2013,  0.0, 5.188,1.495
Belgium,Bintje,40,2013-07-23,Gembloux,2013, 50.0, 6.674,1.858
Belgium,Bintje,40,2013-07-23,Gembloux,2013,100.0, 7.141,2.266
Belgium,Bintje,40,2013-07-23,Gembloux,2013,150.0, 7.209,2.495
Belgium,Bintje,40,2013-07-23,Gembloux,2013,200.0, 7.130,2.524
Belgium,Bintje,40,2013-07-23,Gembloux,2013,250.0, 6.759,2.667
Belgium,Bintje,41,2014-06-18,Gembloux,2014,  0.0, 2.509,3.144
Belgium,Bintje,41,2014-06-18,Gembloux,2014,100.0, 2.911,3.797
Belgium,Bintje,41,2014-06-18,Gembloux,2014,200.0, 2.853,4.012
Belgium,Bintje,41,2014-06-18,Gembloux,2014,250.0, 2.674,3.863
Belgium,Bintje,42,2014-07-03,Gembloux,2014,  0.0, 5.995,1.710
