location,DAYS,GDD,TMEAN,PRECIP,SRAD,TDIFF
Balcarce,152,1738.6099667363417,18.43822346537067,428.48346706098783,25.47899984983936,13.598135785680256
Becker,138,1637.631855014042,18.866897500101754,382.67458092080307,22.722018661228955,11.565577788305204
Gembloux,154,1313.4390172414655,15.528824787282245,244.15979089845587,20.036482707612123,8.325331419011379
Saint-Leonard,132,1149.5941858479905,15.709046862484776,370.5183990252131,19.14394474595722,10.00734089130268
