index,group,owner,study,year,location,variety,rate_n_kgha,date,W,N
1,1,Ben Abdallah,Franière,1999,Belgium,Bintje,0,1999-06-28,1.8735659030681249,3.6763206447925656
1,1,Ben Abdallah,Franière,1999,Belgium,Bintje,119,1999-06-28,1.9996192891237499,3.8126781008112856
1,1,Ben Abdallah,Franière,1999,Belgium,Bintje,170,1999-06-28,1.7523045809456248,3.9661322769515577
1,1,Ben Abdallah,Franière,1999,Belgium,Bintje,221,1999-06-28,1.9737547748625,4.427244963026721
2,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,0,1997-06-12,0.7882459247367384,3.784671611419163
2,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,75,1997-06-12,1.1506306729666667,4.44620414102217
2,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,113,1997-06-12,1.1360971815375,4.801275024711172
2,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,150,1997-06-12,1.1970417663005208,4.851923749484255
2,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,188,1997-06-12,1.250641078798177,4.844830767876697
3,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,0,1997-06-24,2.166611586984101,2.485200234640897
3,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,75,1997-06-24,3.0775045243515624,3.5257890568513677
3,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,113,1997-06-24,3.3786080565723964,3.889993920293323
3,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,150,1997-06-24,3.329268605291146,3.9234293328601364
3,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,188,1997-06-24,3.305025643352604,3.9900192709566804
4,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,0,1997-07-03,3.419505995556805,1.8772903893575195
4,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,75,1997-07-03,5.319603610759029,2.7874687927319632
4,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,113,1997-07-03,4.869620276426389,3.0965884926679696
4,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,150,1997-07-03,5.1861368468270825,3.349196491261743
4,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,188,1997-07-03,5.026504753463195,3.5267291553555795
5,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,0,1997-07-16,6.435235929348959,1.2483027420068886
5,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,75,1997-07-16,8.816096305602082,1.860934217817357
5,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,113,1997-07-16,8.171151113892362,2.151269614616124
5,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,150,1997-07-16,8.2537662036875,2.4621876919226837
5,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,188,1997-07-16,8.840756379541666,2.570398035786522
6,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,0,1997-07-30,9.369417735869028,1.0393992129020722
6,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,75,1997-07-30,12.364079605768403,1.3941708382325482
6,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,113,1997-07-30,10.852162343424999,1.5495369609606477
6,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,150,1997-07-30,12.338759710285416,1.8093568682235526
6,1,Ben Abdallah,Gembloux,1997,Belgium,Bintje,188,1997-07-30,12.705996492863193,1.7552726229078832
7,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,0,1998-06-22,0.9316954149570552,2.9034491526985415
7,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,88,1998-06-22,1.7755972234000001,4.578710511583059
7,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,132,1998-06-22,1.6579196834200003,4.5002288474656345
7,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,176,1998-06-22,1.8240204082100002,5.230916799042034
7,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,220,1998-06-22,1.664356328635,5.14443454484532
8,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,0,1998-07-01,2.4357897413850003,1.7817909980004458
8,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,88,1998-07-01,3.59231621623875,2.6749934646189595
8,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,132,1998-07-01,3.4111861458674997,2.913341717431988
8,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,176,1998-07-01,3.6577959931012503,3.41068707576091
8,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,220,1998-07-01,3.662107073625,3.361917590084559
9,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,0,1998-07-13,5.158440502215,1.0974012967153641
9,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,88,1998-07-13,8.22915510417,1.6722264022597533
9,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,132,1998-07-13,6.48200538360375,1.9247902193222313
9,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,176,1998-07-13,6.57536318814375,2.3642220305665886
9,1,Ben Abdallah,Gembloux,1998,Belgium,Bintje,220,1998-07-13,7.0826872266150005,2.2312996639225324
11,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,0,1999-06-24,1.6552294854166667,2.734706321947736
11,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,119,1999-06-24,2.116109728125,3.890623101357793
11,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,170,1999-06-24,1.7157800658854168,4.48826167411918
11,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,221,1999-06-24,1.9978634651041665,4.30446429553199
12,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,0,1999-07-08,4.438242651354167,1.6381985218774602
12,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,119,1999-07-08,5.385308676276042,2.58909666072387
12,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,170,1999-07-08,5.500596932005209,2.836657622590516
12,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,221,1999-07-08,5.380781186640625,2.938342890673133
13,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,0,1999-07-19,7.8220221584375,1.0684331650591203
13,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,119,1999-07-19,8.960108907083333,1.921523891764564
13,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,170,1999-07-19,7.291488888229168,2.363051317213544
13,1,Ben Abdallah,Gembloux,1999,Belgium,Bintje,221,1999-07-19,8.236462109687501,2.486861518968058
14,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,0,2000-06-15,1.7490597395833336,3.1094167481448785
14,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,102,2000-06-15,2.7784421875,4.3445536684150685
14,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,145,2000-06-15,2.37531765625,4.79473833264656
14,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,189,2000-06-15,2.707168697916667,4.968145513304074
15,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,0,2000-06-29,4.6916415364583335,1.5302287381042323
15,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,102,2000-06-29,5.833436875,2.4612226126890553
15,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,145,2000-06-29,5.145390651041668,2.675510775339015
15,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,189,2000-06-29,5.617033880208334,2.9539935494916363
16,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,0,2000-07-13,8.063369671875,1.0788607287228151
16,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,102,2000-07-13,8.919220989583334,1.8115452778973493
16,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,145,2000-07-13,8.321490625,2.139663722975017
16,1,Ben Abdallah,Gembloux,2000,Belgium,Bintje,189,2000-07-13,8.485676354166667,1.8855820409157749
18,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,0,2004-06-21,1.8811441406592362,2.5412985988299783
18,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,100,2004-06-21,2.4858198698779166,3.7704075814993003
18,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,140,2004-06-21,2.515397143748958,3.7458201974718137
18,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,180,2004-06-21,2.4544735398677777,4.482061315235068
18,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,240,2004-06-21,2.365117936968125,4.157684824962363
19,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,0,2004-06-28,2.9421907593409724,1.8522016598010127
19,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,100,2004-06-28,4.103314928724583,2.9606209744662304
19,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,140,2004-06-28,3.7344807455928475,2.967030932305077
19,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,180,2004-06-28,3.847560917673333,3.145788583291908
19,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,240,2004-06-28,3.9905871909493054,3.344736082787961
20,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,0,2004-07-05,4.189539741138888,1.5447579778087326
20,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,100,2004-07-05,5.525088642583333,2.222739705137776
20,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,140,2004-07-05,5.7754953315,2.3930037118719203
20,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,180,2004-07-05,5.460297195680556,2.520722440806573
20,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,240,2004-07-05,6.076775617798611,2.6031544911736586
21,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,0,2004-07-12,5.6694063649305555,1.1837340147208801
21,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,100,2004-07-12,7.291686913444444,2.003772412630346
21,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,140,2004-07-12,6.8205835615625,2.1053269513765196
21,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,180,2004-07-12,6.9801039931250015,2.3925370252119547
21,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,240,2004-07-12,7.465369743263889,2.477339556678644
22,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,0,2004-07-19,6.697527187812501,1.0295841693799825
22,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,100,2004-07-19,9.01026183365972,1.5655165884796858
22,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,140,2004-07-19,8.727121963083334,1.647281812566007
22,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,180,2004-07-19,8.3934175408125,2.033975252329577
22,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,240,2004-07-19,9.347025390250002,2.08165395994282
23,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,0,2004-07-27,8.15865690331375,0.8808725958591032
23,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,100,2004-07-27,10.805073044590971,1.4664751036975987
23,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,140,2004-07-27,10.240245243040762,1.5161905893852008
23,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,180,2004-07-27,11.061353701557016,1.7326369883940416
23,1,Ben Abdallah,Gembloux,2004,Belgium,Bintje,240,2004-07-27,10.977783044511805,1.8240269129421576
25,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,0,2010-06-28,3.098880393953371,2.5348212320942864
25,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,115,2010-06-28,3.1903529500292005,3.2902888257520786
25,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,165,2010-06-28,3.422556744223837,3.2829822048510873
25,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,215,2010-06-28,3.218603015096819,3.498204695247126
25,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,248,2010-06-28,3.4190140114662917,3.717381220496228
26,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,0,2010-07-05,4.204298866179504,2.0974646947821465
26,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,115,2010-07-05,4.32532987306701,2.714073692451931
26,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,165,2010-07-05,4.342071712843121,2.9155591506717364
26,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,215,2010-07-05,4.056240742522326,3.047566190674846
26,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,248,2010-07-05,4.413072974099407,3.108713846558901
27,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,0,2010-07-12,5.122716943793573,1.8713097861492038
27,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,115,2010-07-12,5.497039149579035,2.5307098529237706
27,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,165,2010-07-12,5.236159758645649,2.5459171092789643
27,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,215,2010-07-12,5.429829547362738,2.7409460562781445
27,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,248,2010-07-12,5.272735333366398,2.7801853350474826
28,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,0,2010-07-26,7.18756641324429,1.700411233441569
28,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,115,2010-07-26,7.720921185953363,2.249851951127431
28,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,165,2010-07-26,8.153822049824171,2.45637831824163
28,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,215,2010-07-26,7.065879707749973,2.593936701840375
28,1,Ben Abdallah,Gembloux,2010,Belgium,Bintje,248,2010-07-26,7.79699296556424,2.582061661507117
29,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,0,2011-06-14,1.4358112583435418,3.763502742044521
29,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,98,2011-06-14,1.4580464718111807,3.6248621052140226
29,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,140,2011-06-14,1.26581749376495,3.746633775073923
29,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,182,2011-06-14,1.554239931130208,3.6047328002784855
29,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,210,2011-06-14,1.3564183254912978,3.766746866113329
30,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,0,2011-07-06,5.54728656162227,1.7870329089479824
30,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,98,2011-07-06,5.148045034709803,2.4160791325398403
30,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,140,2011-07-06,5.411536100508591,2.3893424748334144
30,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,182,2011-07-06,5.365578784489499,2.6240264593025273
30,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,210,2011-07-06,5.529201325138408,2.6362797781458265
31,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,0,2011-07-20,8.263503569265499,1.190235474630714
31,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,98,2011-07-20,8.247498441678323,1.839757582827052
31,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,140,2011-07-20,8.038911478772697,2.0148374547308716
31,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,182,2011-07-20,8.87553403226017,2.0952865370322105
31,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,210,2011-07-20,8.531640631827027,2.0716431592601543
32,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,0,2011-07-25,8.766835602005184,1.1693006673323567
32,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,98,2011-07-25,10.21745644248779,1.7586297032200893
32,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,140,2011-07-25,8.855631445165706,1.8913521773125082
32,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,182,2011-07-25,9.422169489031091,2.1534656590977317
32,1,Ben Abdallah,Gembloux,2011,Belgium,Bintje,210,2011-07-25,9.304469381669172,2.1054713771413396
33,1,Ben Abdallah,Gembloux,2012,Belgium,Bintje,0,2012-06-27,1.02060308292226,3.812244580128066
33,1,Ben Abdallah,Gembloux,2012,Belgium,Bintje,50,2012-06-27,1.1043091658842266,4.742290473852114
33,1,Ben Abdallah,Gembloux,2012,Belgium,Bintje,100,2012-06-27,1.209367554950446,5.5031834269376265
33,1,Ben Abdallah,Gembloux,2012,Belgium,Bintje,150,2012-06-27,1.3671451862138835,5.571892890393942
33,1,Ben Abdallah,Gembloux,2012,Belgium,Bintje,200,2012-06-27,1.2757479506195053,6.19877758327408
